# Âm tiết tiếng Việt hợp lệ ĐÃ CHỨNG THỰC trong corpus, kèm tần suất.
# Nguồn cột 2: syllable-freq.tsv
# 9352 / 18261 âm tiết sinh ra có xuất hiện thật.
# Âm tiết hợp lệ nhưng KHÔNG có ở đây là tín hiệu 'nghi vấn' cho L3/L4:
# đúng ngữ âm nhưng không ai dùng, nên rất có thể là lỗi gõ.
# 
# Cột 3 = tần suất đếm trên CHÍNH tập câu đã dựng compounds.tsv. Cần cột
# riêng này để tính được xác suất có điều kiện P(b|a) = freq(a b)/freq(a):
# hai con số phải cùng một mẫu, không thì tỉ số vô nghĩa. Đó là thứ phân
# biệt từ ghép CỐ ĐỊNH (`chia sẻ`) với kết hợp TỰ DO (`cát trắng`) — và
# chính là chỗ mà tần suất bigram thô không đủ.
# 
# tổng token trên tập câu: 13338970
# 
# âm_tiết	tần_suất_dump	tần_suất_tập_câu
trăn	1456	57
mớn	1455	2
chải	1454	53
tuồng	1454	200
lốc	1453	87
quấn	1453	127
võng	1450	122
trói	1449	97
xót	1442	126
yểu	1441	49
kiêng	1440	162
chẵn	1439	145
hít	1437	105
hoả	1436	158
xua	1435	105
hốc	1434	64
răm	1434	34
xách	1433	132
chồi	1429	94
phông	1425	102
đẩu	1425	115
bói	1422	142
hỷ	1415	100
bún	1413	209
nom	1413	48
mon	1411	38
trệ	1411	172
ngây	1410	65
phất	1408	201
sớ	1405	113
cạo	1404	90
toan	1402	148
lọ	1396	92
bùa	1389	116
chê	1389	157
thóc	1386	161
nu	1385	41
chui	1382	105
hanh	1377	108
cằn	1376	145
quới	1370	27
rỗi	1370	236
loãng	1368	125
ngoặc	1368	113
nhuyễn	1367	103
chầu	1365	89
dặn	1364	139
vàm	1363	59
cọp	1361	63
choàng	1360	74
dẻ	1360	58
quất	1357	105
mít	1355	138
muội	1352	120
diệc	1350	41
gom	1347	126
trỏ	1347	270
khốn	1346	145
rê	1339	76
bưởi	1338	164
thiếc	1337	165
múi	1335	153
hen	1334	77
liềm	1331	145
chăng	1330	153
chả	1330	186
gởi	1330	176
mãng	1330	52
chiềng	1326	18
khuông	1326	94
lờ	1324	89
thiêm	1323	81
mút	1320	146
cang	1319	87
trát	1312	94
nghẽn	1311	145
dẹt	1305	64
trọ	1305	70
dạt	1300	110
nhấp	1300	58
dang	1299	74
gam	1295	95
ngào	1295	50
bã	1289	84
chật	1287	92
mồng	1286	137
trêu	1286	71
điếu	1284	111
pô	1282	176
tửu	1277	88
mâm	1276	94
nới	1275	110
cham	1271	39
miệt	1271	118
phanh	1271	71
nhở	1270	91
kền	1268	65
đò	1268	79
kham	1266	52
cạp	1265	54
dẫu	1263	120
tốp	1262	41
húy	1257	106
bịt	1256	72
thớt	1256	107
nong	1255	15
khất	1254	70
rách	1253	109
huyên	1251	63
nêm	1249	57
sưng	1249	61
đãng	1249	72
nhẹn	1248	36
câm	1247	56
bướu	1244	146
thằng	1244	89
ụ	1244	32
mắng	1243	93
trảng	1237	56
sưởi	1235	97
nản	1233	98
pênh	1230	113
quầy	1230	67
răn	1230	144
chóc	1229	84
mụ	1225	73
uẩn	1225	236
vùi	1225	89
khế	1224	115
tong	1224	16
kiền	1223	81
toạ	1223	170
ghê	1222	68
sạc	1220	49
lợp	1218	129
rộ	1216	126
rom	1210	59
ngả	1208	127
phớt	1206	57
đạ	1200	16
nùng	1197	183
tì	1192	202
trĩ	1191	68
ngải	1188	157
tày	1188	274
xo	1187	106
băm	1186	106
lóng	1186	73
huyệt	1184	90
tằm	1183	278
nanh	1182	62
đản	1182	116
sảng	1181	49
ngỏ	1180	81
náo	1180	103
ngốc	1179	44
niệu	1179	135
cau	1178	135
quẻ	1175	421
dia	1174	67
um	1172	75
mận	1171	92
mễ	1169	122
tẻ	1169	119
gập	1168	66
vứt	1167	79
tánh	1166	103
méo	1165	73
lạy	1162	108
bống	1161	30
ỷ	1161	91
chiểu	1153	126
hui	1153	19
lon	1153	71
sục	1153	34
gót	1151	65
củi	1150	102
đu	1150	90
tí	1149	53
cổn	1147	43
lạch	1144	75
puy	1144	2
phồng	1142	88
thắp	1139	119
gáy	1138	54
sộ	1134	122
ay	1130	23
chắt	1129	71
thuấn	1123	137
chằng	1122	64
nhím	1122	20
rà	1121	84
via	1119	34
phiện	1117	139
đậy	1117	102
chử	1114	106
ngậm	1101	89
lẻo	1098	114
thoạt	1098	51
giồng	1097	54
hèn	1097	103
tạt	1097	61
doạ	1095	134
quỵ	1095	71
trũng	1093	128
vồng	1093	106
nấp	1091	53
chài	1089	94
rim	1089	21
xăm	1089	68
vặt	1088	59
vế	1087	132
kheo	1085	189
sấy	1085	73
xốp	1085	95
máng	1082	74
phình	1082	81
ráo	1080	82
vâng	1080	74
đĩnh	1079	165
hé	1078	37
bẩy	1077	69
tộ	1077	161
áng	1077	74
bàu	1075	42
nhớt	1074	114
văng	1074	101
vạc	1074	78
dầm	1073	117
giấm	1073	101
thắn	1073	56
êm	1070	92
rin	1067	26
rìu	1067	93
xiên	1067	44
nghiêu	1066	119
poa	1065	8
thặng	1065	100
ơ	1065	106
ách	1063	95
hóc	1059	70
khăng	1059	64
noi	1056	73
hùm	1054	55
quắn	1054	6
gao	1051	62
mượt	1049	46
lười	1048	56
mú	1048	47
nhộn	1048	64
ó	1048	34
tằng	1045	23
vất	1045	80
dom	1043	86
giễu	1040	85
bần	1038	108
mương	1037	56
xiếc	1037	35
nê	1036	69
chù	1035	9
gon	1030	19
gầy	1026	75
too	1026	26
tiễu	1025	51
chắp	1022	88
trẫm	1022	99
khước	1021	123
rốn	1021	26
hòng	1019	71
loét	1019	82
sên	1016	27
viêng	1013	91
ăng	1011	118
ngửa	1010	89
trá	1009	79
còi	1006	36
xào	1002	106
ngất	998	46
cháo	997	126
chợt	997	53
cội	995	87
thốn	995	111
bai	993	58
hỉ	993	81
triện	990	36
ào	990	83
chói	987	93
lem	985	13
nhút	985	36
hử	984	13
líu	984	108
rán	984	60
mòng	982	18
đoái	980	95
thong	979	44
liễn	977	135
vắt	977	62
mọng	976	40
hinh	975	78
bục	974	21
sá	972	106
rẫy	971	104
rợ	970	83
quai	969	101
hua	965	17
thừng	965	72
tủa	965	91
pen	964	23
trặc	962	53
cúi	961	84
vụng	957	33
quýt	956	64
nơ	953	69
thèm	950	75
sẹo	948	63
mấu	947	78
đóm	947	41
ỏi	944	70
khun	943	29
luông	936	47
giặt	934	61
sướng	930	65
nách	926	74
niết	925	260
giàng	924	76
sắn	921	82
vữa	920	135
vỉa	919	38
bực	914	64
khắt	914	104
mẩu	914	95
yếm	911	72
rủ	909	73
cào	904	27
nhám	904	78
sành	904	76
cồng	903	88
mị	903	47
sỉ	902	59
tràm	900	60
độn	900	139
mốt	897	50
vẩy	897	47
thản	894	56
đom	892	38
sặc	891	55
bênh	889	88
bứa	887	8
khét	887	46
gỉ	886	41
thây	885	31
chơn	884	39
khướu	883	1
tễ	882	75
dùi	881	37
giằng	881	57
ngạt	881	53
ư	880	104
rặng	878	58
ôi	877	59
om	876	84
rụi	874	35
guốc	873	55
mụn	872	56
ngừ	872	42
nhức	872	72
bới	871	45
lẩn	871	56
chẻ	867	34
phai	867	65
dép	866	67
giơ	864	52
mỉ	863	83
lép	862	30
ồ	862	82
khuấy	860	47
phèn	860	62
chét	856	51
sụn	853	46
chin	852	34
hon	852	26
tuế	850	119
xoá	850	129
uý	849	56
núm	848	36
nhại	847	60
thìa	846	29
gờ	845	54
nhạo	845	55
giỗ	844	180
thẳm	843	63
cữu	840	77
vung	836	84
mè	834	90
trầu	834	101
rái	833	23
sậy	833	64
mia	832	6
mứt	832	74
nhổ	831	71
vét	831	75
nghiễm	830	41
sả	830	77
kén	829	65
xù	828	28
chiêng	825	55
cheng	823	7
gấm	822	69
vặn	822	86
peng	821	5
riềng	821	78
dam	820	15
iu	820	5
khuỷu	819	60
ín	818	40
hú	817	11
nể	813	68
mủ	810	133
trổ	810	83
bừa	809	71
duyện	809	20
cùi	808	88
sỡ	808	44
thán	808	116
thố	807	32
ạt	807	84
cồ	806	185
típ	805	91
cheo	804	74
duẩn	803	280
phở	803	87
bôn	800	46
lụy	800	40
ngạnh	800	15
hới	798	139
lượm	798	121
khoe	795	54
ngần	794	60
vít	792	34
cặn	791	56
khuya	790	46
tuộc	790	20
dượng	788	28
siết	788	36
bứt	787	32
hẻo	787	71
xén	787	53
xước	787	43
vạt	786	68
côm	785	1
mỏm	785	34
đuốc	785	96
cộ	784	62
thảy	783	74
tớ	783	58
chệch	780	86
ốp	780	69
tru	779	35
xâu	779	84
lậy	778	17
reo	777	58
ão	777	15
bịp	775	22
lia	773	21
thắm	770	53
toả	763	95
xao	758	61
lóc	756	44
bung	755	34
nôi	755	100
truật	754	103
nành	753	103
biền	752	64
hót	752	30
nhầy	750	51
nòi	750	62
ngứa	749	30
xịt	749	30
triền	748	69
yển	748	52
cút	747	20
nao	747	23
trơ	745	116
ui	745	14
vo	745	21
dẳng	744	69
him	743	34
bít	742	87
nem	742	52
chập	741	85
xốt	741	10
doo	739	33
ẩu	736	49
rủa	734	45
chong	733	23
thia	733	12
chông	732	41
thà	732	59
cấn	731	28
thuỷ	731	74
nhịn	730	66
kiết	729	62
phúng	729	73
tuốc	727	125
khứu	726	48
rốc	726	22
xúi	725	54
rông	724	54
mống	721	58
pay	721	4
râm	721	40
ngan	719	5
cỏi	718	61
tấc	717	51
lợ	716	30
ngõa	716	43
trút	716	73
rơ	715	57
eng	713	9
liếm	713	21
nện	713	27
xẻo	713	36
dĩa	711	40
hạp	708	60
moi	708	42
nhoáng	708	78
nghê	706	36
hòm	705	40
nhọc	705	72
sảo	705	40
bốt	702	51
nhờn	702	48
cẳng	700	33
choáng	699	38
khóm	698	22
khuyển	695	35
chửi	693	55
nỏ	690	89
teo	690	22
chỏm	689	40
hí	689	31
hất	689	37
vược	689	6
há	687	94
ập	687	37
rúp	686	22
trau	685	82
lẻn	682	31
nhứt	682	68
nạc	681	31
diếp	679	89
nghè	678	46
tót	678	58
lươn	677	23
mỗ	676	62
tột	676	81
óng	676	22
nháy	673	44
nạo	673	70
xổ	673	28
sà	672	13
chĩa	671	50
gồ	671	60
quyện	670	64
gạc	669	41
tởm	669	33
vãng	668	72
bờm	667	22
bô	664	61
thẫm	664	51
đát	663	187
đóa	663	38
hộc	660	35
rầm	660	53
xỉn	660	46
nữu	659	20
chùy	658	28
ghẻ	656	26
hấn	656	46
boa	653	39
ngẫm	653	62
xoang	653	130
kèo	652	52
nguỵ	652	48
vạ	652	52
chốc	651	39
cằm	651	18
rảnh	651	57
trụi	651	52
đước	651	41
bịa	650	34
oánh	650	54
goa	649	26
két	648	24
goo	647	6
hãnh	643	70
gong	641	5
dế	639	17
ruy	639	27
vừng	639	48
dè	638	57
lún	638	61
pao	638	15
them	638	23
ghềnh	636	82
nưa	636	17
nếm	636	40
giỏ	634	58
rót	634	66
biếng	632	37
xộn	631	40
duật	630	52
sám	630	32
vẫy	630	34
đoản	630	46
đớp	629	8
rằm	627	104
đoài	627	68
xuyến	625	44
nhăn	624	42
mỳ	623	60
sạt	623	28
chớ	622	88
soán	622	58
xoan	621	27
khấn	620	74
mỉa	620	35
trồi	619	32
giăng	618	55
dấn	615	30
lút	615	35
tép	615	58
sứa	613	18
rượt	610	13
sếu	610	39
thốc	609	37
bèo	608	66
chiền	608	83
năn	608	49
vạng	608	18
rum	607	12
đẽ	607	54
ton	606	17
ắt	606	54
mí	605	23
gio	601	40
háo	601	29
chình	600	13
luỹ	597	56
moo	597	27
dem	596	22
dạn	595	50
xúp	595	9
gọng	594	62
nhử	594	26
tít	592	36
bẹp	591	58
quýnh	590	34
phiếm	589	38
bum	587	11
cộc	586	23
xoăn	586	25
lự	585	77
thắc	585	66
rồ	584	20
thun	584	12
ươm	583	36
ngoái	582	30
vồ	581	28
khản	580	30
thát	580	63
xán	580	41
sủa	579	38
chum	578	47
tun	577	3
chấu	576	17
nghé	574	27
nghẹt	573	41
trảm	572	30
rệp	569	22
sưởng	569	5
dữu	567	58
gảy	565	146
huổi	564	0
mướn	564	53
nhé	564	24
phẩy	564	48
pia	563	9
quăng	563	34
sờ	563	52
xiết	562	45
gièm	561	26
toát	561	43
hống	559	67
phìn	559	16
mùn	557	47
thom	557	30
hiềm	556	50
khoét	555	70
nhộng	555	17
gợn	554	31
nhuế	553	25
pau	553	13
lìa	552	78
lức	552	21
quặc	551	26
mòi	550	8
suyễn	550	44
cựa	549	13
khay	549	47
luồn	549	48
lúp	549	22
tiếm	548	45
tấp	548	60
vin	547	16
kiểng	546	17
tuý	546	106
ghe	545	53
gióng	545	60
mửa	545	49
nhựt	545	18
chạng	543	14
ghề	542	47
ngung	541	42
nộn	541	40
hòe	540	44
gin	539	5
mầu	539	35
ngo	539	48
nuối	539	25
trớ	539	40
vơ	539	51
dông	538	38
sia	536	8
giương	534	44
trệt	532	28
ờ	532	7
quàng	531	43
ổi	531	26
báp	530	91
dưng	529	27
muỗng	529	25
nhàm	528	26
ria	528	13
xòe	528	50
cưu	526	98
duỗi	526	47
voọc	526	30
mẹo	524	35
chằm	523	21
nhả	523	31
nấng	523	18
chửa	521	9
khuổi	521	3
nia	521	20
sính	521	40
vầng	521	30
hàu	520	13
nháp	520	36
uế	520	45
voa	518	61
hễ	517	69
ghim	515	18
quí	515	18
én	515	26
háng	514	20
thét	514	47
xang	513	36
đụn	512	31
ganh	510	57
thẹn	510	66
găm	508	33
kin	508	9
thớ	508	19
bun	507	8
vỏn	507	28
gù	506	18
kềnh	505	54
lốm	505	10
lẩu	504	29
thọc	504	52
tơi	504	48
húng	502	30
phia	502	20
thau	502	56
rợn	501	19
lọng	500	29
dằn	499	15
nãi	499	46
ngấm	498	46
chuốt	497	42
choang	496	22
tuẫn	495	36
ua	495	20
nhét	494	24
bời	490	34
thửa	490	19
gianh	489	77
hâu	489	31
nứa	489	55
bụt	488	49
cuốc	488	42
suôn	487	36
thò	487	13
xui	487	37
gui	486	95
rầy	486	27
mỉm	484	27
thỏi	484	25
đọ	483	30
cuội	482	49
mom	481	6
trọc	480	39
lạn	479	37
ngó	479	50
táp	479	40
gài	478	32
bả	477	25
dãi	477	45
thy	475	16
điếc	475	34
som	473	31
é	471	16
gọt	469	39
nịnh	468	45
sít	468	30
váng	468	29
đay	468	34
cụp	467	13
khít	466	42
rình	466	33
còng	465	6
gội	465	27
nần	465	32
pom	463	0
ắc	462	84
khon	461	5
nhuần	461	60
thuý	461	63
lài	460	30
bừng	458	42
gớm	458	30
hường	458	25
tran	456	16
xắc	456	18
khoanh	455	27
túp	455	26
giuộc	454	14
quyệt	454	20
vát	454	25
té	453	34
hặc	452	21
nhóc	452	24
vắn	450	52
ù	450	8
mọt	449	28
nhang	449	52
rương	449	8
vưu	449	15
chòi	448	47
hác	448	14
sui	448	17
cật	447	87
dìu	447	79
hũ	447	49
mả	447	61
tráo	446	17
nấc	444	37
trin	444	1
banh	443	41
ngẩn	443	25
bặc	442	43
ngơ	442	52
nhấc	442	47
bua	441	11
ná	441	23
tau	441	50
giẫm	440	16
hịch	440	58
num	440	2
dy	439	16
lốt	439	34
sếp	439	35
gắm	438	41
sởi	438	98
rụt	435	9
vàn	435	39
nài	434	32
bưng	432	28
moe	432	6
phộng	432	13
tiệt	432	63
hỡi	431	35
gào	430	37
qu	427	24
mênh	425	52
chửng	424	21
sần	424	31
boo	423	2
ngỡ	423	29
tợn	423	19
pong	422	3
quáng	422	44
úng	421	71
mó	420	17
nái	420	5
dà	419	66
nấy	418	39
phết	418	59
quệ	418	62
tròng	418	23
yêm	417	37
ảm	416	22
gỏi	415	54
hấu	415	34
lẫm	414	34
phiêng	414	0
phễu	413	34
cáng	412	31
dăm	412	30
toái	412	27
búi	410	50
nhọ	410	27
quắc	409	14
dẫm	408	31
gàng	408	24
hói	408	8
nặn	408	39
gô	407	26
giảo	405	17
mịch	405	29
trụy	405	28
vom	405	12
lôn	404	47
nầy	404	66
pơ	404	49
ưởng	404	35
chẹn	403	7
cốm	402	35
dí	402	42
nhủ	402	27
chát	401	18
hắt	401	32
keng	400	5
lố	400	28
sỏ	399	26
nhão	397	27
rèm	397	26
bướng	396	9
siêng	396	31
vút	396	33
ầm	396	51
dó	394	86
ngớ	393	21
nột	393	20
bở	392	31
hẹ	392	85
ngọa	392	72
xôn	391	35
hý	390	24
gôn	389	27
rùng	387	12
nỉ	386	34
súy	386	41
chẩm	384	17
ngàm	384	7
lác	383	27
cui	382	11
gien	382	38
mồm	382	43
chau	381	14
hin	381	3
quẩn	381	26
thụt	381	40
dát	380	40
mui	380	21
pù	379	5
đanh	379	21
tuông	378	23
cỗi	377	29
pam	377	8
rui	376	8
rữa	376	24
đờn	374	26
lèo	373	20
sậm	373	16
ứ	373	44
gum	370	7
lúng	370	29
mé	370	32
rọi	370	47
xở	370	16
ế	370	25
chần	369	33
huyễn	369	36
sủi	369	29
lụi	368	51
chững	367	24
phen	367	39
trê	367	6
chít	366	33
tòi	366	53
tuột	364	26
vè	364	61
thình	363	37
chũm	362	13
dặc	362	27
loát	362	23
nhông	362	9
roem	362	0
biếu	360	50
quầng	360	36
sí	360	8
trư	360	16
xỉu	360	16
dìm	359	25
hức	358	18
giầy	356	59
hớn	356	18
khiêng	356	20
loang	356	25
ngửi	356	31
bớ	355	37
thin	355	16
vó	355	18
nghêu	354	8
nức	354	38
rem	354	9
phụt	353	52
nhòm	352	39
xiển	352	37
sảy	350	24
thuỳ	350	28
vía	350	71
rết	349	9
ươi	349	18
dặt	348	36
gờm	348	28
lùm	348	14
nú	348	12
giẻ	347	18
mõ	347	16
tè	347	34
leng	346	9
miu	345	0
oi	345	9
sưa	345	29
héo	344	21
lủng	344	10
ngợm	344	17
gành	343	51
puya	343	1
thiển	343	33
vơi	343	18
gá	342	7
thỉu	342	20
khơ	341	47
núp	341	17
quậy	341	20
cáu	340	15
nỡ	340	29
cợt	339	35
hến	339	27
nục	339	9
nặm	338	8
nắn	337	34
pham	336	10
poe	336	19
trạc	336	16
băn	335	32
trám	335	62
đười	334	17
bầm	333	15
pắc	333	13
pang	332	28
hiệt	331	19
nghinh	331	25
gáo	330	34
muông	330	28
ngát	330	20
coo	329	10
hoét	329	2
nheo	329	14
lình	328	29
ngán	328	21
oát	328	20
pai	328	1
nộm	327	25
pác	327	22
trôm	327	11
vỉ	327	15
búng	326	34
biếc	325	22
nhương	325	25
cum	324	16
véc	324	74
đẽo	324	62
ngách	323	20
vái	323	35
huề	322	12
đút	322	24
gượng	320	26
nhún	320	17
túm	320	15
vông	320	18
lõa	319	13
lẽo	319	35
ruồng	319	18
thòi	318	25
hăm	317	31
nập	317	40
chái	316	21
mỵ	316	32
trợn	315	15
xíu	315	39
xắt	315	13
giăm	314	9
chủy	313	15
cuông	313	17
mải	313	27
rì	313	31
đùng	313	28
khau	312	17
thàng	312	7
ùn	311	18
tanh	310	37
hời	309	17
nguôi	309	21
sệt	309	19
têm	309	50
vớ	309	18
ối	309	23
bơn	308	41
hằn	308	35
bợ	307	27
dũ	307	31
sẩy	307	31
xẩm	307	10
lết	306	7
mớ	306	31
sến	304	8
sửng	304	35
thồ	304	22
khuy	303	17
truân	303	16
tróc	303	23
huê	302	16
mích	302	35
nui	302	29
lùa	301	11
nghếch	301	6
quây	301	33
đọa	301	33
hù	300	3
tráp	300	11
sấp	299	25
đuống	299	47
khờ	298	16
loi	298	9
ngầu	298	8
rít	298	29
xiềng	297	37
xú	297	11
toi	296	4
muống	295	51
sy	295	14
trìu	295	17
xài	295	27
xỏ	295	21
hoẵng	294	10
mề	294	16
rát	294	16
tren	294	6
bau	293	3
guồng	293	28
ráng	293	27
hả	292	15
múc	292	28
nết	292	18
chôm	291	71
lì	291	19
try	290	5
chạch	289	3
ngò	289	8
sãi	289	78
tiển	289	10
trảo	289	19
tĩu	289	21
dỏm	288	19
dốt	288	22
gật	288	14
ngoãn	288	11
nệm	288	7
oải	288	17
lẹ	286	14
dãn	285	38
phay	285	25
tã	285	13
nghén	284	16
nhụ	284	13
riết	284	25
quở	283	34
khưu	282	19
ngời	282	29
sác	282	30
nhậu	281	5
quẫn	281	18
tui	281	17
dầy	280	30
moa	280	14
giời	279	7
pá	279	9
diềm	278	38
rận	278	14
siu	278	2
xín	278	17
khăm	277	14
rú	277	33
khoăn	276	31
mịt	276	33
nhú	276	23
tẫn	276	17
chom	275	3
bêu	274	20
roe	274	6
đẫy	274	34
bét	273	10
bấc	273	15
chem	273	56
hõm	273	11
bấp	271	37
chòe	271	2
cõng	270	18
dẽ	270	6
khong	270	9
quăm	270	2
vụt	270	9
doe	269	8
dun	269	7
dơ	269	25
luống	269	24
phung	269	23
sững	269	18
xéo	269	24
đùn	268	12
chỏ	267	6
cọng	266	21
hom	266	24
hám	266	11
chọe	265	8
chừ	264	19
oe	264	11
buy	263	4
mành	263	26
ên	263	9
nhài	262	17
rành	262	25
xới	262	18
liệm	261	11
cườm	260	24
miễu	260	13
mần	260	19
boi	258	7
rè	258	5
rạ	258	27
đờ	258	16
ỉ	258	21
hoe	257	8
ngàng	257	19
rí	257	24
thinh	257	28
bỉm	256	5
choe	256	0
mánh	256	23
nhép	256	13
quao	256	18
vê	256	42
chon	255	6
héc	255	15
hê	255	16
hóm	255	44
tưng	255	22
xẻng	255	14
nhạ	254	19
thăn	254	8
lòa	253	21
nhỉnh	253	12
nhợt	253	7
trẻo	253	16
chũi	252	5
mướp	252	20
nhót	252	21
nhơ	252	20
nậu	251	11
vun	251	19
thít	250	13
nghiến	249	22
đảnh	249	21
khàn	248	16
luy	248	43
lù	248	13
truồng	247	18
xia	247	7
xim	247	6
khự	246	0
phang	246	8
heng	245	23
kếp	245	11
noo	245	4
bện	244	27
sứt	244	23
cót	242	12
hờn	242	26
khêu	242	19
xắn	242	10
dua	241	10
roo	241	2
xức	241	24
chuôi	240	50
đờm	240	17
mán	239	26
oem	239	14
tron	239	8
nực	238	17
trầy	238	23
nả	237	5
dấp	236	17
lán	236	13
lòi	236	12
lả	236	8
thúng	236	25
rẩy	235	10
khuân	234	13
noa	234	5
pim	234	3
tành	234	18
vãi	234	25
nhòa	233	17
triêu	233	13
xuy	233	13
mách	232	14
nhẽo	231	3
nẻo	231	19
rây	231	31
xèo	231	26
bịch	230	17
ngông	230	19
trạo	230	17
đễ	230	15
hoo	229	2
mim	229	4
beo	228	14
bim	228	4
hóng	228	17
tuôn	228	33
đoa	228	9
cún	227	5
lum	227	13
meng	227	12
mạp	227	12
nhắt	227	9
oo	226	7
sùi	226	23
ngỗi	225	24
nẫm	225	11
quẩy	225	13
rầu	225	21
thếp	225	27
vót	225	28
lạo	224	15
ngợp	224	10
nhen	224	20
deng	223	7
lênh	223	23
muồi	223	30
ngùi	223	14
sem	223	6
chuốc	222	13
chừa	222	24
rưởi	222	9
ú	222	13
đong	222	23
chếch	221	17
cáy	221	31
dái	221	11
lãn	221	31
lởm	221	6
gầu	220	85
hừng	220	5
nhọt	219	13
sình	218	28
chạc	217	21
bậy	216	21
pà	216	17
quải	216	12
rưới	216	24
chiện	215	3
gút	215	7
hiu	215	15
huýt	215	11
khư	215	19
trập	215	14
xối	215	14
đỗi	215	18
chận	214	10
chịt	214	42
cốp	214	2
khoả	214	9
láy	214	15
nhác	214	18
xửa	214	3
gau	213	5
nĩa	213	16
rươi	213	4
đơ	213	34
pít	212	18
rền	212	17
đên	212	10
ố	212	23
chùng	211	7
kiển	211	9
meo	211	15
niệp	211	0
đỉa	211	6
chiu	210	8
hờ	210	24
mọn	210	30
ghẹo	209	12
giở	209	12
ngót	209	17
phum	209	6
chũ	208	12
hợt	208	14
nhừ	208	11
thùa	208	11
vánh	208	7
xóc	208	13
chíp	207	14
coen	207	1
thược	207	16
xuyết	207	46
cun	206	1
sắng	206	18
moóc	205	9
phệ	205	83
bam	204	3
cũi	204	25
khóe	204	14
nhành	204	16
điêng	204	21
dề	203	18
cùn	202	7
lua	202	5
ngùng	202	10
vầy	202	16
hem	201	15
hỉnh	201	14
phèo	201	6
sìn	201	13
tủi	201	19
chụm	200	16
dõng	200	8
giỡn	200	14
lọi	200	19
ngẩng	200	14
níu	200	16
tời	200	13
vanh	200	13
choắt	199	1
què	199	7
quăn	199	10
vựa	199	30
poem	198	1
ửng	198	9
chơ	197	17
thiềm	197	15
xáng	197	2
choo	196	2
dượt	196	10
giũa	196	17
lẳng	196	10
nhuốm	196	15
roa	196	4
bạng	195	4
hiêu	195	5
khùng	195	8
lom	195	11
pò	195	12
quo	195	16
trườn	195	10
bảnh	194	3
chãi	194	20
ngâu	194	12
nhõm	194	13
rường	194	16
chởm	193	6
lổ	193	8
đuông	193	5
gừ	192	16
kỉnh	192	8
quàn	192	10
đọi	192	17
ngậy	191	10
nhăng	191	6
ló	190	20
nhảm	190	13
trum	190	2
khum	189	10
lặt	189	15
nim	189	10
xúy	189	15
gắp	188	21
hĩnh	188	18
lảng	188	15
mẩn	188	20
nhằn	188	15
ruốc	188	32
rộc	188	8
đít	188	5
quặp	187	4
vạm	187	8
đềm	187	9
chớm	186	8
khảnh	186	7
kìa	186	14
nun	186	7
tray	186	8
trấu	186	21
hum	184	4
nau	184	3
phui	184	13
pú	184	7
xiêng	184	12
đần	183	23
chội	182	17
ròi	182	14
bím	181	2
lõng	181	15
nhum	181	3
phon	181	0
pí	181	16
pó	181	21
rọc	181	15
sú	181	14
sển	181	21
tở	181	3
vôn	181	33
hòi	180	18
mam	180	16
ngam	180	1
ré	180	11
sín	180	3
toạc	180	11
mèn	179	13
nhối	179	17
nhỡ	179	11
sặt	179	13
thoai	179	21
vén	179	15
víu	179	28
hích	178	18
lun	178	2
ngóng	178	13
ní	178	15
sạp	178	10
uân	178	2
nẻ	177	12
rườm	177	31
thòng	177	8
vênh	177	12
lèng	176	7
niu	176	10
úa	176	7
ké	175	5
ngoằn	175	19
veng	175	8
bẹt	174	26
gấc	174	15
ró	174	1
bìu	173	17
cóng	173	13
ghì	173	3
ngoa	173	9
đốp	173	5
dấm	172	32
rộp	172	13
tầu	172	7
cạm	171	6
lơn	171	5
ruổi	171	16
chẵng	170	1
pon	170	1
trành	170	3
đênh	170	20
bẽ	168	25
bủa	168	13
ngoi	168	4
nua	168	16
rua	168	6
tèo	168	1
dôi	167	16
ghẹ	167	5
inh	167	4
nhá	167	10
pờ	167	7
vối	167	31
è	167	6
sênh	166	7
ốt	166	5
dòm	165	12
dậm	165	15
phin	165	24
vẹo	165	11
chấy	164	7
giãi	164	21
lèn	164	12
lơi	164	14
lỏi	164	8
noong	164	3
nịch	164	6
tuỷ	164	52
xẹp	164	27
liệp	163	9
rên	163	10
rống	163	20
thài	163	19
noam	162	22
tàm	162	18
vại	162	24
dim	161	1
khoắn	161	11
suông	161	22
bẻo	160	2
muồng	160	3
thoán	160	56
toe	160	8
triêm	160	7
hớt	159	12
khoằm	159	2
ngổ	159	4
py	159	2
tấy	159	5
ĩ	159	19
mố	158	17
ngái	158	67
phăng	158	8
soài	158	7
trối	158	12
ngớt	157	14
nạng	157	11
quặt	157	6
cơi	156	12
rá	156	45
teng	156	7
tuốt	156	9
hơ	155	3
hủi	155	21
éo	155	10
biều	154	9
thuân	154	6
bâng	153	6
hổi	153	12
loe	153	18
loen	153	0
ngáy	153	3
ngóc	153	17
phảng	153	18
seng	153	4
thảnh	153	3
ngố	152	1
nướu	152	7
nịt	152	17
sàm	152	6
xiêu	152	23
buốt	151	16
khom	151	19
soe	151	2
trùn	151	1
dúi	150	2
lóe	150	10
lấm	150	11
rằn	150	1
sì	150	5
xoong	150	32
hếch	149	4
khèn	149	19
lú	149	12
nhồng	149	1
oản	149	11
tâng	149	15
tùm	149	11
xùm	149	6
beng	148	9
nhãng	148	15
panh	148	4
pín	148	2
sủ	148	3
xổm	148	7
bui	147	4
