# Token KHÔNG phải âm tiết tiếng Việt nhưng được chấp nhận trong văn bản Việt.
# Gồm ba nhóm: từ vay mượn khoa học (vectơ, nitơ, electron, protein),
# tên riêng ngoại (méxico, napoléon), và viết tắt thường (sđd, đ).
# 
# Tiêu chí: xuất hiện trong >= 20 câu khác nhau.
# Dùng SỐ CÂU CHỨA chứ không phải tần suất thô: tần suất thô bị một bài
# dài lặp lại một từ làm lệch, còn độ lan toả thì không.
# 
# Nguồn: sentences-train.txt (449911 câu)
# 
# token	tần_suất	số_câu_chứa
champ	30	29
charlemagne	30	29
clement	31	29
cloud	30	29
coke	38	29
comprehensive	31	29
courcy	29	29
craig	32	29
creative	31	29
damascus	29	29
each	31	29
eddie	29	29
eds	29	29
emacs	37	29
eredivisie	30	29
ever	31	29
federal	30	29
fortune	29	29
freeman	30	29
félix	30	29
genus	32	29
glonass	39	29
gmo	31	29
greek	29	29
hacker	29	29
hero	29	29
hertz	29	29
himmler	31	29
honolulu	30	29
humphry	29	29
hydrat	32	29
images	31	29
info	33	29
internationale	29	29
jetstar	34	29
jin	30	29
joule	34	29
jure	31	29
kaki	36	29
karol	29	29
kate	29	29
kathleen	31	29
lhasa	30	29
lion	37	29
local	30	29
lockheed	29	29
look	29	29
luciano	30	29
lênin	30	29
manche	30	29
masters	31	29
matteo	29	29
maxim	31	29
message	29	29
mn	35	29
mort	30	29
mosfet	39	29
mustafa	32	29
mêtan	32	29
nagorno	31	29
natasha	29	29
nazca	40	29
ncbi	30	29
neville	32	29
nietzsche	31	29
nike	33	29
opengl	36	29
operation	30	29
oss	29	29
overview	29	29
packet	30	29
pangaea	29	29
penrose	31	29
prime	33	29
principia	29	29
ravenclaw	32	29
raúl	29	29
ridge	30	29
ritchie	30	29
rostov	30	29
scudetto	29	29
secret	31	29
selznick	36	29
shinawatra	34	29
siberi	29	29
sigma	30	29
slughorn	32	29
solow	30	29
stefan	30	29
sweet	32	29
taj	31	29
tantal	35	29
terminal	30	29
thales	30	29
toulouse	29	29
toyoda	32	29
trumpet	37	29
uracil	31	29
urban	30	29
vec	34	29
viet	35	29
vista	29	29
vxl	31	29
walther	29	29
wanderers	30	29
wb	30	29
wilkes	35	29
êđê	30	29
african	31	28
aka	30	28
anc	31	28
another	30	28
antonov	47	28
aux	28	28
babylonia	32	28
bactria	30	28
bae	32	28
baha	30	28
bazooka	32	28
before	28	28
bolero	32	28
break	28	28
cafein	38	28
call	30	28
ceres	28	28
chemistry	31	28
cold	30	28
complex	28	28
console	29	28
constantine	30	28
coupe	29	28
cox	31	28
cquote	28	28
crimea	33	28
current	28	28
cyrill	28	28
daemonorops	53	28
demo	28	28
diana	28	28
diva	31	28
dmitri	29	28
dnepr	30	28
documents	30	28
emmy	29	28
faith	28	28
fisher	32	28
formula	28	28
friedman	28	28
frisia	33	28
fuji	31	28
gar	34	28
gaul	35	28
granada	28	28
hanoi	35	28
harappa	29	28
heidelberg	28	28
heritage	29	28
hispaniola	29	28
hyundai	31	28
ismail	30	28
justice	28	28
kaiser	31	28
karlovy	35	28
katakana	29	28
kerr	28	28
keyboard	28	28
khayyam	35	28
kyushu	28	28
lama	31	28
lazio	29	28
leonhard	29	28
lisp	28	28
lópez	28	28
mil	31	28
minor	29	28
miss	31	28
mk	32	28
montana	28	28
nacl	33	28
nicaea	31	28
nik	30	28
noel	29	28
numbers	31	28
ok	36	28
origami	46	28
pat	31	28
phra	30	28
pink	28	28
platform	29	28
plugin	32	28
polytechnique	31	28
porter	30	28
portrait	28	28
poseidon	29	28
present	28	28
principles	28	28
pritzker	28	28
prôtêin	30	28
railway	30	28
rhinoceros	30	28
ritter	28	28
rttemberg	29	28
saga	36	28
sana	32	28
schmidt	28	28
schuster	28	28
section	30	28
sheffield	31	28
since	29	28
sirs	34	28
société	28	28
statistics	29	28
swahili	28	28
tarim	29	28
tell	28	28
telomere	37	28
teluri	31	28
truth	28	28
turin	28	28
turner	30	28
vary	35	28
very	29	28
visa	30	28
vittorio	29	28
wei	31	28
wiles	34	28
wojty	29	28
xhtml	32	28
yan	28	28
zarqawi	31	28
âl	29	28
aa	27	27
algorithm	31	27
analog	29	27
atahualpa	30	27
bahn	35	27
bayon	27	27
behind	27	27
bermuda	28	27
birth	33	27
bitum	31	27
bristol	27	27
bromide	30	27
bukhara	27	27
byelorussia	28	27
byzantium	28	27
caliph	29	27
canaria	27	27
canon	28	27
celsius	32	27
chain	30	27
chomsky	27	27
clarke	28	27
claudius	28	27
coast	29	27
collagen	28	27
congress	29	27
cosa	32	27
csdl	29	27
daimler	33	27
dale	32	27
davies	32	27
days	27	27
ddr	42	27
dec	31	27
dylan	29	27
eduard	27	27
emil	28	27
estadio	32	27
eye	27	27
falcon	28	27
gamal	27	27
germany	27	27
gobi	27	27
guru	28	27
habana	27	27
hague	28	27
happy	27	27
hdl	34	27
hektor	32	27
hermes	32	27
host	29	27
hyde	27	27
hébert	30	27
hđnd	30	27
imp	36	27
includes	28	27
indus	28	27
infobox	27	27
ionia	32	27
islands	27	27
janet	27	27
jesse	28	27
jonas	30	27
julia	27	27
kagame	31	27
kalimantan	27	27
karelia	30	27
kippur	29	27
kor	34	27
lodge	30	27
luís	27	27
macdonald	28	27
maduro	28	27
magic	29	27
mauser	31	27
mayer	28	27
meursault	28	27
milimét	28	27
mimosa	33	27
miocen	27	27
moldova	27	27
momen	28	27
montesquieu	27	27
mormon	30	27
mt	29	27
nadu	27	27
nestlé	28	27
niagara	30	27
nsa	30	27
oak	28	27
oder	29	27
pahlavi	30	27
paolo	28	27
phase	30	27
phosphorus	36	27
pie	31	27
pre	33	27
père	29	27
pérez	27	27
range	30	27
retrovirus	29	27
rrna	29	27
safari	28	27
sharif	27	27
sio	29	27
six	27	27
smithsonian	29	27
soda	28	27
spa	28	27
speed	33	27
sputnik	27	27
sánchez	28	27
tanganyika	28	27
tango	27	27
tashkent	27	27
thani	31	27
triglyceride	29	27
ud	30	27
usgs	33	27
utrecht	29	27
vanadi	30	27
vc	27	27
vietnamnet	27	27
vostok	29	27
wallis	29	27
waterloo	29	27
waves	31	27
westmoreland	30	27
while	30	27
whitney	28	27
xxiii	27	27
yalta	29	27
yi	28	27
yom	29	27
zayed	29	27
émile	27	27
đhqg	29	27
abyssinia	31	26
agarose	31	26
agent	29	26
ahn	28	26
aise	26	26
ait	35	26
andrea	26	26
arrhenius	29	26
associated	27	26
baron	26	26
biological	27	26
bis	28	26
bonnie	28	26
broglie	28	26
buckingham	26	26
building	28	26
canberra	27	26
carbine	28	26
cdc	30	26
chrome	30	26
clemens	27	26
clip	28	26
césar	26	26
dalton	28	26
deoxyribose	26	26
devon	27	26
dog	28	26
eagle	26	26
entente	27	26
eratosthenes	29	26
erie	31	26
excerpt	26	26
fahrenheit	28	26
fia	28	26
fide	31	26
fischer	27	26
fish	28	26
framework	27	26
fuller	28	26
gaddafi	27	26
gcc	27	26
geomungo	39	26
goebbels	27	26
gplv	39	26
gpu	31	26
grêgôriô	26	26
hades	29	26
hara	29	26
harivarman	27	26
helmholtz	29	26
ida	26	26
ieyasu	26	26
igm	29	26
ikk	27	26
imdb	31	26
indica	26	26
industries	26	26
institut	28	26
iodide	28	26
jong	30	26
kalahari	33	26
kampuchea	27	26
karma	28	26
khalip	29	26
khieu	30	26
kilogram	32	26
kira	26	26
korean	26	26
langdon	28	26
lectures	32	26
links	26	26
litovsk	26	26
lopez	35	26
lost	26	26
magiê	27	26
making	26	26
matthias	26	26
mcdonald	27	26
medicine	26	26
meuse	26	26
minnesota	26	26
mri	30	26
muscat	26	26
nantes	26	26
neanderthal	27	26
neuraminidase	31	26
normandy	27	26
norris	27	26
nothing	27	26
nsnd	40	26
nur	27	26
oil	28	26
olympics	28	26
oppenheimer	27	26
pack	29	26
pagan	29	26
penny	33	26
philips	27	26
pinyin	34	26
pleistocene	27	26
probe	30	26
province	29	26
pétain	28	26
qgpmnvn	26	26
radian	30	26
richardson	26	26
rocky	26	26
role	26	26
sahel	27	26
samaria	28	26
saskatchewan	30	26
satan	28	26
saud	30	26
servlet	36	26
soccer	29	26
strike	29	26
tea	28	26
terra	26	26
thalassemia	34	26
tool	27	26
touya	31	26
ul	28	26
urdu	26	26
valkyrie	27	26
value	30	26
vanir	29	26
vnexpress	28	26
wild	26	26
would	26	26
wozniak	29	26
wwf	27	26
étienne	26	26
affairs	29	25
again	25	25
ailen	27	25
aircraft	27	25
albus	26	25
algol	29	25
alsace	26	25
amu	25	25
andrei	25	25
angela	25	25
antilles	25	25
antimon	29	25
atv	26	25
audrey	26	25
aug	38	25
augustin	25	25
australasia	25	25
aviation	26	25
banda	25	25
belize	25	25
bicarbonat	26	25
bison	29	25
bwv	43	25
cacao	26	25
calo	31	25
canyon	27	25
cdu	29	25
cervantes	34	25
chad	28	25
chanchu	28	25
chandrasekhar	26	25
chel	26	25
chief	27	25
chromi	34	25
cinema	28	25
collins	27	25
collège	31	25
colonel	30	25
colonial	27	25
colt	26	25
corse	27	25
creek	28	25
crosby	25	25
cycle	26	25
daro	26	25
dijkstra	28	25
direct	25	25
duma	25	25
ek	27	25
emile	25	25
emirates	27	25
encryption	27	25
experience	25	25
face	27	25
faroe	27	25
flute	26	25
fresnel	26	25
gaelic	33	25
girls	27	25
gironde	25	25
got	25	25
gould	25	25
govpubs	25	25
hanover	27	25
hendrik	25	25
here	26	25
horace	25	25
hoth	25	25
hrê	32	25
hub	30	25
hyperbol	28	25
hz	29	25
idol	29	25
jamie	26	25
jenny	28	25
jo	25	25
justinian	26	25
kan	26	25
ladoga	26	25
laurentia	26	25
lausanne	27	25
lg	30	25
lille	27	25
lombard	27	25
lutheran	27	25
lycée	28	25
lăk	28	25
magna	26	25
magnetic	26	25
manager	28	25
marina	27	25
marseillaise	26	25
mathematica	25	25
mdma	25	25
mechanics	30	25
monomer	28	25
motion	25	25
mujahideen	26	25
musab	28	25
mycenae	25	25
networks	30	25
nguyen	28	25
nippon	26	25
nord	28	25
notre	25	25
nuremberg	26	25
obi	26	25
odysseus	25	25
oklahoma	30	25
ole	27	25
originator	34	25
pak	27	25
pavlov	28	25
pbs	27	25
percy	25	25
phil	25	25
pioneer	25	25
pisa	25	25
poincaré	26	25
population	30	25
prabang	27	25
providence	28	25
publications	25	25
pulsar	29	25
ramos	25	25
ramsay	26	25
rapid	28	25
ras	27	25
riaa	25	25
robson	27	25
rockefeller	28	25
rod	26	25
room	27	25
router	25	25
row	26	25
rundstedt	27	25
sar	27	25
sars	27	25
scandal	27	25
schiller	26	25
shaman	25	25
shield	25	25
sicily	25	25
somme	27	25
sophia	26	25
southeast	25	25
still	31	25
stop	25	25
such	25	25
suite	28	25
suzuki	27	25
thdq	32	25
theravada	25	25
torah	25	25
toshiba	28	25
transmission	25	25
tricéa	27	25
ttingen	25	25
turkestan	32	25
ubtvqh	25	25
ucb	25	25
ueh	32	25
vishnu	29	25
vs	27	25
weil	25	25
xaviê	27	25
yatga	30	25
yo	27	25
yong	26	25
yucatán	25	25
zanzibar	25	25
édouard	25	25
đt	28	25
adapter	30	24
ahu	33	24
ajaeng	29	24
ale	29	24
alexis	25	24
altair	28	24
amit	26	24
ancelotti	24	24
anders	24	24
angiosperm	24	24
applications	26	24
aragon	30	24
arkhangelsk	26	24
australis	30	24
auto	25	24
avril	24	24
bacon	24	24
baird	28	24
balkans	26	24
baltica	25	24
barrow	25	24
bastille	26	24
bel	25	24
bluetooth	28	24
boxer	26	24
bradley	24	24
breton	24	24
cable	25	24
cache	29	24
cal	27	24
calcium	24	24
caltech	24	24
cash	26	24
cbd	25	24
cc	28	24
cecil	24	24
chaos	32	24
charton	27	24
christoph	24	24
clarkson	25	24
cnc	26	24
cochin	25	24
col	24	24
cookie	35	24
cyclic	29	24
date	28	24
db	26	24
ddffdd	74	24
different	24	24
dionysius	27	24
dmitry	24	24
drive	25	24
driver	24	24
ds	26	24
economics	24	24
effect	26	24
ein	25	24
encarta	31	24
enigma	25	24
ennis	33	24
fantasy	25	24
financial	24	24
fitzgerald	24	24
folk	28	24
fraser	27	24
gael	26	24
genji	26	24
giant	24	24
gloria	28	24
glory	27	24
gran	24	24
granger	25	24
gupta	25	24
gwangju	29	24
helena	25	24
hideyoshi	25	24
hiragana	24	24
homme	25	24
horst	25	24
humboldt	27	24
igor	24	24
interview	26	24
ionic	25	24
javier	25	24
joint	24	24
joyce	25	24
judo	25	24
kalinga	25	24
kathmandu	24	24
kay	24	24
kerry	24	24
kontakt	25	24
lambda	27	24
latex	24	24
lavoisier	25	24
lithium	30	24
lives	24	24
luna	27	24
lux	28	24
lyell	25	24
malcolm	24	24
micromet	26	24
mosin	27	24
mysql	26	24
myth	25	24
nba	25	24
nehru	24	24
nicobar	26	24
nicolaus	24	24
nintendo	28	24
nor	29	24
nucleoside	28	24
nơron	34	24
othello	27	24
palau	29	24
parkinson	25	24
patagonia	24	24
petit	24	24
phone	25	24
pixel	25	24
plymouth	25	24
poljakov	27	24
practice	24	24
prost	26	24
protestant	25	24
qgp	25	24
ramón	27	24
rand	25	24
reading	26	24
response	26	24
rohingya	28	24
romance	31	24
russia	27	24
salon	26	24
sandinista	28	24
sarajevo	26	24
savoy	28	24
schwann	24	24
sector	30	24
sign	25	24
sindh	26	24
siri	26	24
somaliland	30	24
sources	24	24
southampton	24	24
stones	24	24
strabo	26	24
sukhothai	25	24
surface	28	24
swing	25	24
tae	25	24
takeda	34	24
tale	24	24
talk	25	24
taxon	27	24
think	24	24
toppdom	24	24
touch	24	24
trafford	25	24
translated	24	24
undp	25	24
used	24	24
val	26	24
valve	26	24
variety	25	24
vga	27	24
wallonie	25	24
welt	25	24
wheel	27	24
winchester	24	24
woo	24	24
woodrow	24	24
wyoming	24	24
xtiêng	29	24
yangon	24	24
yerevan	27	24
zacharias	27	24
ăngten	27	24
achaean	24	23
acre	23	23
adenosine	26	23
adrian	23	23
aegea	25	23
agnes	23	23
ajatashatru	29	23
allium	26	23
alois	27	23
angara	24	23
app	26	23
array	24	23
ata	23	23
banks	23	23
bauer	23	23
bb	26	23
beaufort	26	23
beck	24	23
beograd	24	23
betty	23	23
bibliography	23	23
boer	27	23
bologna	24	23
bond	26	23
borax	29	23
bot	26	23
burma	27	23
canary	23	23
cancer	25	23
charlotte	24	23
clay	23	23
clyde	23	23
cocain	25	23
cole	25	23
commentary	23	23
communication	25	23
contemporary	23	23
copyright	27	23
cromwell	25	23
dar	23	23
destiny	27	23
deutschland	24	23
dias	23	23
dionysus	24	23
dome	25	23
drogba	23	23
dutch	24	23
dynasty	28	23
eddington	27	23
emperor	26	23
enrico	25	23
erasmus	23	23
every	25	23
falls	29	23
families	23	23
fao	24	23
fatima	23	23
federico	23	23
galilee	24	23
gateway	24	23
generation	23	23
glycoprotein	23	23
gmbh	26	23
gnp	26	23
goes	26	23
gonzález	23	23
greater	23	23
greatest	24	23
greene	23	23
gtk	26	23
guardiola	24	23
gujarat	25	23
heaven	24	23
hello	35	23
hercules	23	23
hessen	24	23
hexagram	23	23
hopkins	24	23
hpv	27	23
iata	25	23
identity	24	23
ieng	26	23
ik	25	23
illustrated	23	23
intifada	25	23
irvine	23	23
jehovah	23	23
khartoum	23	23
kipling	28	23
kj	25	23
knox	23	23
koh	26	23
krasch	24	23
lampard	23	23
leicester	23	23
lieutenant	25	23
loire	23	23
lten	24	23
macmillan	24	23
madeira	24	23
mahathir	26	23
maradona	23	23
mason	23	23
mccarthy	25	23
md	27	23
mika	23	23
mile	24	23
mitterrand	25	23
mohenjo	24	23
morning	23	23
mother	24	23
myosotis	24	23
mystery	24	23
nathaniel	23	23
neue	24	23
newell	25	23
nikaya	24	23
normandie	24	23
novel	23	23
ol	24	23
osce	24	23
oswald	24	23
pamir	23	23
para	24	23
patton	23	23
pdp	27	23
peer	41	23
pierce	24	23
pliny	27	23
pm	34	23
pokal	23	23
pompey	26	23
pompidou	23	23
processing	23	23
pyrénées	24	23
quaker	23	23
race	24	23
radon	28	23
related	23	23
requiem	28	23
ribbentrop	25	23
roc	26	23
rupert	23	23
sainteny	23	23
samphan	25	23
sary	23	23
sleep	24	23
smetana	29	23
snow	25	23
solaris	23	23
stevens	24	23
sts	25	23
surfactant	24	23
tbilisi	25	23
technical	23	23
technologies	23	23
telegraph	23	23
theater	29	23
theodosius	24	23
these	23	23
thessaly	25	23
those	25	23
tk	29	23
tonkin	26	23
topo	28	23
tourism	25	23
trias	26	23
trombone	29	23
unplugged	28	23
upon	23	23
uri	26	23
using	24	23
vendôme	24	23
vij	23	23
village	24	23
virion	24	23
vitruvius	26	23
vng	25	23
webelements	23	23
webster	23	23
were	23	23
wilkins	24	23
wirth	24	23
yamamoto	23	23
zion	25	23
abkhazia	23	22
aceh	25	22
albion	22	22
albums	23	22
aleksei	26	22
alen	26	22
alfonso	23	22
amine	25	22
anpơ	23	22
antónio	22	22
any	25	22
approach	23	22
archibald	22	22
asen	23	22
asic	28	22
austria	24	22
author	22	22
autobahn	23	22
avenue	24	22
bani	24	22
basil	22	22
beria	23	22
bishop	22	22
blake	22	22
bodhi	25	22
borglum	24	22
boxing	26	22
bremen	22	22
bretton	24	22
bt	26	22
burgundy	22	22
burret	24	22
butan	26	22
caesarion	23	22
car	22	22
carbohydrat	23	22
cent	24	22
chase	24	22
chey	26	22
chunhyang	23	22
circle	22	22
cluster	23	22
commerce	24	22
conservation	25	22
countries	22	22
cunningham	23	22
curtis	23	22
cut	23	22
cyclin	29	22
cygnus	23	22
deacon	22	22
deal	24	22
desert	25	22
deutscher	22	22
dietrich	22	22
discussion	22	22
doping	25	22
dot	23	22
duke	24	22
durham	22	22
economy	25	22
edda	26	22
edith	23	22
elements	24	22
emir	22	22
erectus	23	22
escherichia	23	22
essay	27	22
eur	26	22
files	22	22
final	22	22
floyd	22	22
fly	24	22
forces	22	22
forever	22	22
friends	25	22
frédéric	22	22
gallup	22	22
garry	26	22
gauthier	22	22
gaya	27	22
gibson	24	22
gilles	22	22
giorgio	22	22
glycosmis	66	22
gov	23	22
gregor	22	22
griffith	25	22
guiana	23	22
harley	23	22
hector	23	22
henrik	24	22
herod	27	22
higher	22	22
hler	23	22
holstein	22	22
honshu	22	22
hormuz	22	22
htv	24	22
humphrey	23	22
hydrofluoric	23	22
ilya	23	22
industry	22	22
integrated	25	22
iowa	23	22
iroquois	24	22
isle	23	22
kane	24	22
karen	22	22
kivu	23	22
kkk	27	22
klaus	23	22
klein	23	22
kobe	26	22
kuznetsov	24	22
kw	24	22
lachaise	24	22
lait	23	22
lamarck	22	22
late	23	22
leclerc	23	22
lema	22	22
lend	24	22
length	25	22
letters	22	22
lindsay	22	22
lonely	22	22
louise	22	22
lucy	25	22
luigi	22	22
lz	26	22
maha	22	22
malt	26	22
manitoba	22	22
marburg	22	22
marshal	26	22
mart	25	22
match	24	22
mediawiki	24	22
meinhof	27	22
melanesia	22	22
melinda	28	22
mercosur	22	22
mikoyan	28	22
mmorpg	22	22
muang	25	22
mubarak	22	22
munda	27	22
native	23	22
neptune	24	22
netbook	28	22
ngc	23	22
nucleobase	24	22
nvidia	27	22
orwell	24	22
palm	25	22
par	24	22
paramount	23	22
pep	24	22
peso	25	22
picasso	22	22
piece	24	22
piper	24	22
pole	24	22
portugal	23	22
potomac	22	22
preston	22	22
psv	24	22
pv	25	22
pyramid	24	22
rangers	24	22
rebel	23	22
ref	23	22
reims	23	22
relations	23	22
reports	23	22
ribose	23	22
rn	24	22
rowland	24	22
runtime	23	22
rémi	28	22
salazar	22	22
saleh	23	22
samos	22	22
sapiens	24	22
screen	22	22
selected	23	22
sergeyevich	22	22
shadow	23	22
signature	23	22
soprano	23	22
springs	23	22
stack	23	22
stein	24	22
strange	22	22
sutherland	22	22
symbol	24	22
syndrome	23	22
taberd	22	22
tb	23	22
telex	26	22
thorne	22	22
tobruk	23	22
tolstoy	23	22
tonga	23	22
tonlé	26	22
touré	22	22
ucc	26	22
ulster	23	22
vhs	22	22
vicente	22	22
victory	22	22
vodka	23	22
vp	25	22
waals	24	22
westfalen	24	22
wolf	25	22
yokohama	27	22
yorktown	22	22
zawahiri	23	22
ôliu	24	22
abs	23	21
acm	23	21
administration	22	21
aleut	23	21
allan	21	21
among	21	21
ananda	21	21
andromeda	26	21
apfsds	21	21
april	24	21
aral	23	21
arpa	23	21
ashikaga	25	21
augusta	23	21
bafta	21	21
bear	32	21
bengali	22	21
benin	26	21
bert	24	21
birds	22	21
blaise	21	21
blenheim	22	21
bogotá	21	21
both	23	21
brahma	24	21
bretagne	23	21
brigadier	23	21
bytecode	23	21
cabinet	21	21
calmette	22	21
cambodia	21	21
cassette	21	21
chakri	23	21
challenger	24	21
child	23	21
chipset	25	21
chlorophyll	27	21
chávez	22	21
close	22	21
cocos	22	21
colspan	25	21
come	21	21
comparative	21	21
computational	21	21
conflict	22	21
constraintsolver	24	21
controller	25	21
corpus	23	21
crawfurd	21	21
crp	25	21
curcuma	36	21
cv	23	21
cyrene	22	21
dane	22	21
darfur	24	21
darius	21	21
delacroix	22	21
demetrios	23	21
deutschen	26	21
dewey	23	21
display	22	21
doctor	22	21
domingo	24	21
dorothy	21	21
dransf	24	21
duras	22	21
echo	22	21
eduardo	21	21
elliott	21	21
emanuel	21	21
eocen	24	21
ethan	22	21
fact	21	21
falkland	22	21
false	22	21
far	22	21
farnsworth	23	21
feyenoord	22	21
find	21	21
flora	27	21
foo	24	21
frederik	21	21
futsal	32	21
galen	21	21
garcia	23	21
gaule	22	21
genius	21	21
geoffrey	21	21
giles	23	21
gore	21	21
gorky	21	21
grunge	22	21
gtvt	22	21
haydn	21	21
helmut	21	21
herald	21	21
herman	21	21
hgh	25	21
hipparchus	21	21
histoire	23	21
hla	30	21
holdings	21	21
hooker	22	21
ich	23	21
iec	29	21
igg	23	21
ilyushin	27	21
input	22	21
iosif	21	21
irtysh	26	21
irving	21	21
jabber	26	21
jazeera	22	21
jeff	22	21
jeffrey	21	21
journey	24	21
katyn	25	21
kerch	23	21
khorasan	24	21
kimi	24	21
kofi	21	21
koran	23	21
kr	23	21
krishna	23	21
lars	21	21
lato	21	21
leslie	22	21
lfs	24	21
lionel	21	21
logarit	27	21
luiz	21	21
maastricht	22	21
macma	22	21
magnolia	23	21
mahayana	22	21
majapahit	27	21
malesia	22	21
maluku	21	21
martín	21	21
matt	21	21
medici	21	21
michelle	21	21
micronesia	21	21
multi	21	21
nad	22	21
nicole	26	21
nikola	22	21
nobita	25	21
node	28	21
october	21	21
origins	21	21
ozzy	23	21
painting	23	21
parsec	22	21
patricia	21	21
paz	22	21
period	21	21
pew	21	21
phage	25	21
phantom	21	21
philosophical	21	21
pluto	22	21
popper	22	21
portable	22	21
pour	21	21
presidential	23	21
pretoria	22	21
properties	25	21
propionic	23	21
publishers	21	21
puma	25	21
quest	21	21
rate	24	21
rd	22	21
rob	21	21
roche	21	21
rodgers	21	21
sadc	21	21
sakhalin	21	21
salem	24	21
sara	21	21
scheme	22	21
schleswig	23	21
script	23	21
selen	21	21
semiconductor	22	21
several	22	21
shannon	23	21
shareaza	29	21
sharp	22	21
shoemaker	24	21
sistema	24	21
sociedad	22	21
soviet	22	21
spanish	22	21
speer	21	21
srpska	21	21
steiermark	23	21
sting	26	21
suzdal	29	21
sword	27	21
syringa	61	21
tardieu	23	21
taíno	21	21
texts	23	21
thierry	22	21
thumbnail	21	21
tibetan	24	21
tnt	22	21
train	23	21
tuileries	21	21
tunis	24	21
turbin	23	21
ucla	23	21
uh	21	21
valentine	21	21
voip	23	21
wenger	23	21
wheeler	23	21
wikibooks	25	21
zaire	23	21
ă	28	21
đak	22	21
abhidharma	21	20
achaemenid	20	20
achilles	26	20
active	21	20
adp	22	20
adriano	21	20
adsl	23	20
ain	21	20
ala	21	20
alpinia	28	20
amadeus	20	20
amir	20	20
anjou	20	20
antioch	20	20
antipatros	20	20
antony	20	20
aragón	22	20
arrondissement	21	20
arya	25	20
asahi	20	20
assad	22	20
astronomical	24	20
atat	22	20
automatic	20	20
baader	21	20
bahnar	21	20
baja	21	20
baldwin	20	20
balt	25	20
barbados	20	20
barents	21	20
bath	23	20
beautiful	22	20
being	21	20
benelux	20	20
bernstein	21	20
berzelius	21	20
binary	22	20
bloom	23	20
bn	22	20
bois	24	20
branch	20	20
brand	21	20
brief	20	20
browne	20	20
button	21	20
cabin	22	20
cacbonic	21	20
caliphate	21	20
canal	21	20
canton	22	20
cavendish	22	20
cdk	24	20
charlton	20	20
chrysler	20	20
cicero	20	20
cité	20	20
cmnd	22	20
commodore	21	20
constance	21	20
cornwall	21	20
crescent	25	20
crôm	21	20
côngxoocxiom	21	20
dalmatia	23	20
damas	20	20
danny	21	20
danton	21	20
dawn	20	20
dd	23	20
deuteri	21	20
device	23	20
dl	22	20
dsl	27	20
dunant	22	20
editor	25	20
emerson	20	20
enrique	20	20
equus	27	20
essex	20	20
estrada	20	20
ethyl	27	20
exploration	20	20
fame	20	20
federation	21	20
fernández	21	20
fiction	20	20
figo	23	20
films	20	20
flo	21	20
fraunhofer	23	20
fulham	20	20
gareth	20	20
gaulois	23	20
getbackers	22	20
gfdl	24	20
gil	20	20
gone	22	20
goodison	21	20
goto	28	20
gottlieb	20	20
gregorian	22	20
grohl	20	20
growth	20	20
guard	23	20
guild	20	20
guinée	22	20
hamid	20	20
harpsichord	22	20
hasan	20	20
hastings	20	20
hawthorne	21	20
historia	21	20
hrer	20	20
hs	24	20
hufflepuff	25	20
ilsa	21	20
investment	20	20
ir	20	20
iron	23	20
jenkins	22	20
jeremy	20	20
joshua	20	20
kampot	20	20
kashgar	22	20
kids	20	20
knvb	22	20
kota	23	20
kremlin	22	20
lanthan	24	20
lease	22	20
liliales	20	20
linguistic	21	20
linguistics	21	20
lte	21	20
lucius	20	20
lêô	20	20
macchiato	26	20
mainz	22	20
mallorca	23	20
mathers	21	20
members	20	20
methodist	24	20
mint	22	20
mods	22	20
motorola	21	20
musa	25	20
nafta	20	20
nanomet	22	20
nashville	21	20
nationale	21	20
near	20	20
ness	23	20
nice	21	20
nitrogen	20	20
ntgen	24	20
nylon	21	20
obiang	25	20
openoffice	27	20
oriental	20	20
oriented	21	20
osman	23	20
ou	23	20
outlook	21	20
output	20	20
own	23	20
packard	20	20
pavie	20	20
pci	26	20
peres	20	20
perestroika	20	20
perez	20	20
peroxisome	24	20
photo	24	20
photos	25	20
pinochet	21	20
pittsburgh	22	20
prenn	23	20
printing	21	20
product	21	20
qasim	22	20
raja	23	20
read	25	20
reichstag	22	20
risk	22	20
romulus	20	20
roux	20	20
rsdrp	20	20
rt	24	20
rush	22	20
sacred	20	20
sadi	21	20
salad	22	20
schneider	27	20
sd	22	20
sdl	21	20
sergey	22	20
servetus	25	20
severus	20	20
seymour	20	20
situ	22	20
smart	20	20
smartphone	24	20
something	22	20
station	21	20
stirling	21	20
student	21	20
sub	22	20
thailand	21	20
theatre	21	20
thiol	24	20
toyotomi	22	20
training	21	20
transit	23	20
triumph	23	20
truffaut	21	20
tuberculosis	20	20
uc	20	20
ultra	21	20
underground	20	20
unity	21	20
update	21	20
urea	25	20
vesak	21	20
voronezh	20	20
words	20	20
wu	20	20
xavan	20	20
yorkshire	20	20
yunho	20	20
yves	20	20
za	21	20
